path,label,width,height,hash
Zubat/92c50b0cd30346dabd26645ce9e6e849.jpg,Zubat,800,480,67823bcbf48a57d0afc6872251fc1c5d
Wigglytuff/179fdc0309414eba93632e073b5e38a3.jpg,Wigglytuff,230,320,f8a8789e713ffc13080137c50fa50e51
Arcanine/096785a7c91f4c2fa64ca8fc2d024417.jpg,Arcanine,800,521,2674d1dd8944c7efb697dd1a50fc2999
Jigglypuff/34d67f10c8114b8486318d190f770cfd.jpg,Jigglypuff,887,900,93d53969789da4e7665b8be92572d6c2
Weedle/514c15897565427a80ac39aff58ef7bb.jpg,Weedle,800,800,67a826db4d7111f8152d6d897f24577a
Pikachu/a69d482acac649d794c81118e76c896e.jpg,Pikachu,300,300,2dcd68b321b93dc131f93a61101bc759
Raticate/ccafd17a366445519174ac750a578a62.jpg,Raticate,245,342,029226ac46a42bd875f5438eb76ac7fe
Mankey/d62b3dbf9c8147d5a4af9f4b6fa35f8b.jpg,Mankey,453,398,8464a7e25f5a805f6eafbbcd7e644444
Gyarados/90ae302a43464ae1b3cda5a631b6430c.jpg,Gyarados,1015,788,e85dc982986172ad89fff5a60d0111ae
Dragonite/8df59281a2a9490295a1688414433f01.jpg,Dragonite,1174,881,a1cfa5444b392a89ecfa296ad4b28f03
Krabby/2e24c47f51c74f049e307bfff318e910.jpg,Krabby,531,343,fd37204680a8b1d142ef633b85387238
Aerodactyl/8c1a69bc6f3746bdabacd8d658041dcb.jpg,Aerodactyl,250,116,e9ece4724421bf8b2d960f451ae45603
Jynx/19dc6441cce546b7a3804882399461f3.jpg,Jynx,250,250,17ad23d9b9e3896d7de8f6084323e50c
Bulbasaur/aa9b196e27694c9e96df3221bd0dccf9.jpg,Bulbasaur,500,500,eac3e74b8fa16bb2eb18aa7a44c96121
Seadra/88eb60f88c8141d3be2ba0f232a6a1e6.jpg,Seadra,866,904,ca6fe570918d6f7a995674d326a0c6de
Golduck/63169e28deb640f7975abe015f4c61b9.jpg,Golduck,800,800,e34d89493e5a515f85c7ec24988ee04c
Raticate/a24f6a225061422f920b74c44389482d.jpg,Raticate,300,277,9d2e95f4a750dd105ef933543985d084
Alakazam/3e40ff0f0d4c4b2ba45990c14385d628.jpg,Alakazam,256,256,abd0278c0cd9937f89939b559bbe84fd
Doduo/fb17fdfe072747149592712e09149aac.jpg,Doduo,750,650,6110b33770955884edb6036d53017629
Primeape/6193dea26a144d6daf73d51ff806b9b6.jpg,Primeape,300,235,dd23ccc8f70c4a225417e0894aaa6e88
